                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1233,                 5.0392,                  2.375,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065891,             0.00065891,             0.00065891
                      2,                 2.2734,                 3.1812,                 1.7005,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012993,              0.0012993,              0.0012993
                      3,                 2.0056,                 2.7556,                 1.6532,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019134,              0.0019134,              0.0019134
                      4,                 2.1342,                 2.4605,                 1.7081,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9638,                 2.3388,                 1.6387,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.9281,                 1.9426,                 1.6464,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      7,                  2.022,                 1.9532,                 1.6732,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      8,                 1.9912,                 1.7451,                 1.6248,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9889,                 1.5491,                 1.5777,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.9077,                 1.5014,                 1.5883,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.9432,                 1.3535,                 1.5468,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.8496,                 1.3742,                 1.5401,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     13,                 1.8245,                 1.2582,                 1.4939,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.8901,                 1.2631,                 1.5444,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.7426,                 1.1939,                 1.4961,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.7842,                 1.1456,                 1.4592,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8172,                 1.1554,                 1.5042,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     18,                 1.7856,                 1.0836,                 1.4755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.7208,                 1.0678,                  1.416,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.6853,                 1.0717,                 1.4319,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7317,                 1.0374,                 1.4154,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
