                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0257,                 1.3818,                 1.3881,                0.66159,                 0.7836,                0.81266,                 0.5269,                    nan,                    nan,                    nan,             0.00047573,             0.00047573,             0.00047573
                      2,                 1.0068,                0.85721,                 1.3396,                0.83992,                0.81643,                0.86029,                0.54626,                    nan,                    nan,                    nan,             0.00076356,             0.00076356,             0.00076356
                      3,                0.95911,                0.71991,                 1.3085,                 0.8505,                0.85324,                0.85959,                   0.59,                    nan,                    nan,                    nan,             0.00086275,             0.00086275,             0.00086275
                      4,                 0.9154,                0.63713,                 1.2758,                0.92152,                0.87053,                 0.9024,                0.64063,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                      5,                0.89014,                 0.6004,                 1.2579,                0.94257,                0.89364,                0.92917,                0.65188,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
