                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7622,                 6.0697,                 1.8088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3474,                 3.6521,                 1.7269,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013446,             0.00013446,             0.00013446
                      3,                 2.2865,                 3.5119,                 1.7404,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020258,             0.00020258,             0.00020258
                      4,                 2.2358,                 3.3707,                 1.7436,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026436,             0.00026436,             0.00026436
                      5,                 1.9262,                 3.1989,                  1.552,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00031981,             0.00031981,             0.00031981
                      6,                 2.1701,                 2.9039,                  1.725,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00036892,             0.00036892,             0.00036892
                      7,                 2.0594,                  3.018,                 1.6996,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004117,              0.0004117,              0.0004117
                      8,                 1.7983,                 2.5105,                 1.5108,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00044814,             0.00044814,             0.00044814
                      9,                 1.9628,                 2.4846,                 1.5014,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047824,             0.00047824,             0.00047824
                     10,                 2.0148,                  2.241,                 1.5148,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050201,             0.00050201,             0.00050201
                     11,                 1.5897,                 2.0505,                 1.3966,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051944,             0.00051944,             0.00051944
                     12,                 2.0908,                 2.2335,                 1.6151,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053054,             0.00053054,             0.00053054
                     13,                 1.9813,                 2.1376,                 1.4567,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005353,              0.0005353,              0.0005353
                     14,                 1.7776,                 2.0725,                 1.4799,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053372,             0.00053372,             0.00053372
                     15,                  2.164,                 2.1106,                 1.6727,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052581,             0.00052581,             0.00052581
                     16,                 2.2121,                 4.8629,                 1.5302,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051156,             0.00051156,             0.00051156
                     17,                 1.8507,                 2.8239,                 1.5097,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049098,             0.00049098,             0.00049098
                     18,                  2.098,                 3.0593,                 1.5496,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00046406,             0.00046406,             0.00046406
                     19,                 2.0165,                 2.8053,                 1.7353,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004308,              0.0004308,              0.0004308
                     20,                 1.8617,                 2.2552,                 1.4916,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039121,             0.00039121,             0.00039121
                     21,                 2.0769,                 2.3943,                 1.6094,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00034528,             0.00034528,             0.00034528
                     22,                 1.9253,                 2.3826,                 1.5416,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029302,             0.00029302,             0.00029302
                     23,                 1.9739,                 2.4072,                 1.5003,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00023442,             0.00023442,             0.00023442
                     24,                 1.8319,                 2.6286,                 1.5488,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00016948,             0.00016948,             0.00016948
                     25,                 2.1275,                 2.6214,                 1.7259,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.8208e-05,             9.8208e-05,             9.8208e-05
