                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7622,                 6.0697,                 1.8088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                  2.348,                 3.6518,                 1.7267,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013861,             0.00013861,             0.00013861
                      3,                 2.2789,                 3.5091,                  1.738,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021564,             0.00021564,             0.00021564
                      4,                 2.2571,                 3.3724,                 1.7635,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.9389,                 3.1671,                 1.5592,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00036495,             0.00036495,             0.00036495
                      6,                 2.1762,                 2.8891,                 1.7874,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00043723,             0.00043723,             0.00043723
                      7,                 2.0486,                 3.0232,                  1.755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.8922,                 2.4797,                 1.6193,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.8746,                 2.3846,                 1.5273,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00064456,             0.00064456,             0.00064456
                     10,                 2.0159,                 2.3276,                 1.5898,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007105,              0.0007105,              0.0007105
                     11,                  1.622,                 2.0684,                 1.4436,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00077486,             0.00077486,             0.00077486
                     12,                 2.1535,                 2.3316,                 1.6411,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.9872,                 2.4894,                  1.477,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.8198,                  2.015,                 1.5316,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00095843,             0.00095843,             0.00095843
                     15,                 2.1398,                 2.1854,                 1.6537,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010165,              0.0010165,              0.0010165
                     16,                 2.1048,                 2.8488,                 1.6306,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     17,                 2.0991,                 2.0127,                  1.627,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011277,              0.0011277,              0.0011277
                     18,                 2.1376,                 2.2794,                 1.7103,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001181,               0.001181,               0.001181
                     19,                 1.8894,                 1.9561,                  1.465,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012327,              0.0012327,              0.0012327
                     20,                 2.1352,                 2.4958,                  1.665,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012828,              0.0012828,              0.0012828
                     21,                 2.0434,                  2.474,                 1.3645,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013313,              0.0013313,              0.0013313
                     22,                 2.0247,                 2.1801,                 1.5088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.9538,                 2.2364,                 1.5988,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014236,              0.0014236,              0.0014236
                     24,                 2.0293,                 2.3438,                 1.5441,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.9485,                 2.3455,                 1.6637,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015096,              0.0015096,              0.0015096
                     26,                 2.0878,                 2.4977,                 1.6426,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                 1.9015,                 2.2659,                 1.5732,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                 1.9697,                 2.3838,                 1.7123,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.0251,                 2.4183,                 1.6593,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.9739,                 2.6539,                 1.6848,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.1539,                 2.4824,                 1.6514,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.0974,                 2.4307,                 1.6596,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                 2.0903,                  2.376,                 1.6544,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.0992,                 2.4766,                 1.7297,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.1193,                 2.5454,                  1.589,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0472,                 2.5543,                 1.6986,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.2204,                  2.344,                  1.581,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                 2.1782,                 2.5382,                 1.9035,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                  2.237,                  2.431,                 1.7043,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.3781,                 2.4779,                  1.843,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.1184,                 2.2817,                 1.8038,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0909,                 2.3036,                 1.7407,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                 2.1038,                 2.5047,                 1.7577,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.1313,                 2.2245,                  1.583,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.1919,                 2.2226,                 1.5565,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0382,                 2.1871,                 1.7136,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                  2.117,                 2.4475,                 1.7194,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                 2.0019,                 2.0356,                 1.4711,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9709,                 2.2232,                 1.5902,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0897,                 2.2259,                 1.7202,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
