                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7622,                 6.0697,                 1.8088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3518,                 3.6524,                 1.7282,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013076,             0.00013076,             0.00013076
                      3,                 2.2978,                 3.5216,                 1.7389,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019096,             0.00019096,             0.00019096
                      4,                 2.2505,                 3.3876,                  1.748,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002406,              0.0002406,              0.0002406
                      5,                 1.9406,                 3.2794,                 1.5739,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00027968,             0.00027968,             0.00027968
                      6,                 2.0672,                  3.115,                 1.6082,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0003082,              0.0003082,              0.0003082
                      7,                 2.1862,                 3.0729,                 1.6307,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032616,             0.00032616,             0.00032616
                      8,                 2.0815,                 3.0748,                 1.5871,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00033356,             0.00033356,             0.00033356
                      9,                 2.0511,                  2.981,                 1.6774,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0003304,              0.0003304,              0.0003304
                     10,                 1.9422,                 2.6456,                 1.6331,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00031668,             0.00031668,             0.00031668
                     11,                 2.0893,                 2.7557,                 1.7659,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002924,              0.0002924,              0.0002924
                     12,                 2.0958,                 2.6593,                 1.6576,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00025756,             0.00025756,             0.00025756
                     13,                  2.183,                 2.7522,                 1.6641,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021216,             0.00021216,             0.00021216
                     14,                 2.1175,                 2.6513,                 1.6432,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001562,              0.0001562,              0.0001562
                     15,                 2.1908,                  2.876,                 1.7271,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              8.968e-05,              8.968e-05,              8.968e-05
