                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7902,                 6.5248,                 1.7839,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 2.0601,                 3.6726,                 1.7111,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.3585e-05,             9.3585e-05,             9.3585e-05
                      3,                 2.4311,                 3.8393,                 1.8069,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011076,             0.00011076,             0.00011076
                      4,                 2.3366,                 3.7481,                 1.7592,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00010152,             0.00010152,             0.00010152
                      5,                 1.9828,                 3.5464,                 1.6304,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              6.588e-05,              6.588e-05,              6.588e-05
