                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4137,                 1.8977,                 1.5465,                  0.942,                0.00056,                0.00303,                0.00212,                    nan,                    nan,                    nan,             0.00047554,             0.00047554,             0.00047554
                      2,                 1.3752,                 1.3112,                 1.4736,                0.99125,                0.00056,                0.00329,                0.00263,                    nan,                    nan,                    nan,             0.00093303,             0.00093303,             0.00093303
                      3,                 1.3714,                 1.1041,                 1.4347,                0.98758,                0.00056,                0.00473,                0.00425,                    nan,                    nan,                    nan,              0.0013717,              0.0013717,              0.0013717
                      4,                 1.3553,                  1.046,                 1.4339,                0.98959,                0.00056,                0.03472,                0.03125,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3219,                0.92433,                 1.3948,                0.99042,                0.00056,                0.02233,                0.01563,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.3066,                0.88166,                  1.394,                0.99048,                0.00056,                0.03472,                0.02431,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.2563,                0.80957,                 1.3655,                0.99008,                0.00056,                0.05676,                0.04541,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.2521,                0.78864,                 1.3558,                0.99057,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.2506,                0.78191,                 1.3569,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.2516,                0.75769,                 1.3502,                0.65608,                0.00056,                0.08431,                0.06744,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2185,                0.74423,                 1.3317,                0.65689,                0.00056,                0.02528,                0.02275,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     12,                  1.214,                0.72635,                 1.3262,                 0.9907,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2051,                0.71016,                 1.3129,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.1774,                0.67679,                  1.299,                0.65736,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.1908,                0.67867,                 1.3083,                0.65742,                0.00056,                0.02921,                0.02337,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.1758,                0.67147,                 1.2998,                0.99015,                0.00056,                0.05676,                0.04541,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.1682,                0.65014,                 1.2864,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.1722,                0.64578,                 1.3037,                0.65698,                0.00056,                0.05676,                0.05108,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.1474,                0.63176,                 1.2828,                0.99083,                0.00056,                0.04299,                0.03869,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     20,                 1.1366,                0.61392,                 1.2809,                 0.6578,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
