                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7622,                 6.0697,                 1.8088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3522,                 3.6523,                 1.7281,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013307,             0.00013307,             0.00013307
                      3,                 2.2936,                 3.5174,                 1.7488,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019822,             0.00019822,             0.00019822
                      4,                 2.2279,                 3.3685,                 1.7344,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00025545,             0.00025545,             0.00025545
                      5,                 1.9647,                 3.2258,                  1.577,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00030476,             0.00030476,             0.00030476
                      6,                 2.2031,                 2.9095,                 1.7586,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00034615,             0.00034615,             0.00034615
                      7,                  2.071,                 3.0706,                 1.7148,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00037962,             0.00037962,             0.00037962
                      8,                 1.8204,                 2.5765,                 1.4979,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00040517,             0.00040517,             0.00040517
                      9,                  1.911,                 2.5264,                 1.4756,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004228,              0.0004228,              0.0004228
                     10,                 1.9883,                 2.3075,                 1.4757,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00043251,             0.00043251,             0.00043251
                     11,                 2.0782,                 2.2883,                 1.7565,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004343,              0.0004343,              0.0004343
                     12,                 2.0781,                 2.3274,                 1.6311,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00042817,             0.00042817,             0.00042817
                     13,                 2.0507,                 2.6855,                  1.574,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041412,             0.00041412,             0.00041412
                     14,                 2.2743,                  2.409,                 1.7525,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039215,             0.00039215,             0.00039215
                     15,                 2.0497,                 2.7409,                 1.5851,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00036226,             0.00036226,             0.00036226
                     16,                 2.0797,                 3.8048,                  1.433,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032445,             0.00032445,             0.00032445
                     17,                 2.1908,                 2.7001,                 1.6698,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00027872,             0.00027872,             0.00027872
                     18,                  2.181,                 2.2659,                 1.6249,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022507,             0.00022507,             0.00022507
                     19,                 2.0832,                 2.6634,                 1.5292,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001635,              0.0001635,              0.0001635
                     20,                 1.9936,                 2.4766,                 1.5284,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              9.401e-05,              9.401e-05,              9.401e-05
