                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1781,                   3.81,                 1.7749,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3928,                 3.9021,                  1.794,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00012614,             0.00012614,             0.00012614
                      3,                 2.2638,                 3.9074,                 1.7832,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00017644,             0.00017644,             0.00017644
                      4,                 2.0764,                 3.5658,                 1.6811,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002109,              0.0002109,              0.0002109
                      5,                 2.2596,                 3.3422,                 1.7294,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022952,             0.00022952,             0.00022952
                      6,                 2.0162,                 3.2195,                 1.5493,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002323,              0.0002323,              0.0002323
                      7,                 1.9358,                 3.0541,                 1.5611,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021924,             0.00021924,             0.00021924
                      8,                 2.1798,                 3.1149,                 1.6891,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019034,             0.00019034,             0.00019034
                      9,                 2.0037,                 2.9486,                  1.502,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001456,              0.0001456,              0.0001456
                     10,                 1.9257,                 2.7647,                 1.5399,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              8.502e-05,              8.502e-05,              8.502e-05
