                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9434,                 3.7275,                 1.6626,                0.00642,                0.29651,                0.02883,                0.00879,                    nan,                    nan,                    nan,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.7392,                 3.1355,                 1.4587,                0.00703,                0.31746,                 0.0611,                0.02433,                    nan,                    nan,                    nan,             0.00054466,             0.00054466,             0.00054466
                      3,                 1.7566,                  2.672,                 1.4574,                0.01366,                0.62482,                0.13148,                 0.0646,                    nan,                    nan,                    nan,               0.000817,               0.000817,               0.000817
                      4,                  1.713,                 2.3816,                 1.3705,                0.62462,                0.15234,                0.26874,                0.11518,                    nan,                    nan,                    nan,              0.0010837,              0.0010837,              0.0010837
                      5,                 1.7769,                 2.3714,                 1.4452,                0.36531,                  0.303,                0.28287,                 0.1218,                    nan,                    nan,                    nan,              0.0013448,              0.0013448,              0.0013448
                      6,                 1.7456,                 2.2418,                 1.4195,                 0.7056,                0.21057,                0.29289,                0.13745,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7566,                 2.0618,                 1.3855,                0.36968,                0.28021,                0.26554,                0.09957,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.7354,                 1.9829,                 1.4461,                0.36968,                0.28021,                0.26554,                0.09957,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      9,                 1.7688,                 2.1763,                 1.5209,                0.39921,                 0.2413,                0.23726,                   0.09,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.9045,                 2.4236,                 1.5898,                0.48038,                0.29449,                0.29186,                0.11151,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     11,                 1.7728,                 2.0207,                  1.546,                0.54232,                0.38462,                0.41181,                0.17796,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.8731,                 2.1288,                 1.5289,                0.53298,                0.37837,                0.43179,                0.18729,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     13,                 1.7047,                 1.9796,                 1.3984,                0.53559,                0.45588,                0.41708,                0.18904,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8117,                 1.9453,                 1.5086,                0.53559,                0.45588,                0.41708,                0.18904,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     15,                 1.7635,                 1.9655,                 1.4725,                0.55862,                0.41359,                0.37608,                0.16667,                    nan,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.7315,                 1.9382,                  1.468,                0.49528,                0.47199,                0.37826,                0.17276,                    nan,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     17,                 1.7937,                  1.859,                 1.4328,                 0.4983,                0.47471,                0.39304,                0.16838,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.6746,                   1.77,                 1.3819,                0.58427,                0.43334,                0.47495,                0.22336,                    nan,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.6324,                 1.6884,                 1.3484,                0.58427,                0.43334,                0.47495,                0.22336,                    nan,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.6887,                 1.9697,                 1.4123,                0.58636,                0.48388,                0.49607,                0.22387,                    nan,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.8283,                 2.1031,                 1.5836,                0.59424,                0.46691,                 0.5243,                0.24676,                    nan,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.7122,                 1.7762,                 1.3998,                0.63394,                 0.5013,                0.55496,                0.27588,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     23,                  1.608,                 1.7175,                 1.4163,                0.67532,                0.52739,                0.56353,                0.26176,                    nan,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.6275,                 1.7351,                 1.4326,                0.67532,                0.52739,                0.56353,                0.26176,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.7086,                   1.68,                 1.4385,                0.62949,                0.51984,                 0.5352,                0.24763,                    nan,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.6909,                 1.7796,                  1.495,                0.66107,                0.46977,                0.52004,                0.23084,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.6818,                 1.7492,                 1.4923,                0.64482,                 0.4848,                0.52343,                0.24085,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.6272,                   1.66,                 1.3956,                0.62136,                0.56302,                0.58303,                0.28483,                    nan,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.6403,                 1.5367,                 1.3833,                0.62136,                0.56302,                0.58303,                0.28483,                    nan,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.6176,                 1.6184,                 1.4112,                0.64509,                0.51099,                0.57629,                0.27583,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.6832,                 1.7891,                 1.3908,                0.61169,                0.49104,                0.51784,                0.24726,                    nan,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.6666,                 1.7114,                 1.3496,                0.62876,                0.48438,                0.49229,                0.22589,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.5776,                  1.767,                 1.3324,                0.71735,                0.51646,                  0.559,                0.25416,                    nan,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
