                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7622,                 6.0697,                 1.8088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3507,                 3.6512,                 1.7281,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013538,             0.00013538,             0.00013538
                      3,                 2.2823,                 3.5118,                  1.739,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020548,             0.00020548,             0.00020548
                      4,                 2.2575,                 3.3727,                 1.7693,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002703,              0.0002703,              0.0002703
                      5,                 1.9998,                 3.2086,                 1.6089,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032984,             0.00032984,             0.00032984
                      6,                 2.2048,                 2.8959,                 1.7847,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0003841,              0.0003841,              0.0003841
                      7,                  2.035,                 3.0244,                 1.7503,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00043308,             0.00043308,             0.00043308
                      8,                 1.8866,                  2.565,                 1.5892,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047678,             0.00047678,             0.00047678
                      9,                 1.9401,                 2.4875,                 1.5178,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005152,              0.0005152,              0.0005152
                     10,                 2.0385,                 2.2903,                 1.5784,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054834,             0.00054834,             0.00054834
                     11,                 1.6285,                  2.046,                  1.458,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005762,              0.0005762,              0.0005762
                     12,                 2.1381,                 2.3424,                 1.6706,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059878,             0.00059878,             0.00059878
                     13,                 2.0007,                 2.3304,                 1.4864,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00061608,             0.00061608,             0.00061608
                     14,                 1.8193,                 2.1017,                 1.5506,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006281,              0.0006281,              0.0006281
                     15,                 2.1041,                 2.1906,                 1.6394,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063484,             0.00063484,             0.00063484
                     16,                 2.0845,                 2.7949,                 1.6412,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006363,              0.0006363,              0.0006363
                     17,                 2.0565,                 1.8966,                 1.6065,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063248,             0.00063248,             0.00063248
                     18,                 2.1496,                 2.2232,                 1.7493,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062338,             0.00062338,             0.00062338
                     19,                 1.8636,                 1.8639,                 1.4703,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000609,               0.000609,               0.000609
                     20,                 2.0951,                 2.4122,                 1.6425,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058934,             0.00058934,             0.00058934
                     21,                 2.1151,                 2.5736,                 1.6396,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     22,                 1.8861,                 2.6833,                 1.5315,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053418,             0.00053418,             0.00053418
                     23,                 2.0173,                 2.6072,                 1.5568,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049868,             0.00049868,             0.00049868
                     24,                 2.0311,                 2.6862,                 1.6002,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004579,              0.0004579,              0.0004579
                     25,                 1.9693,                 2.3474,                 1.5534,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041184,             0.00041184,             0.00041184
                     26,                  1.875,                 2.1859,                 1.5091,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     27,                  1.879,                 2.3667,                 1.4688,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     28,                 1.8577,                 2.2309,                 1.4622,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000284,               0.000284,               0.000284
                     29,                 1.9216,                 2.3857,                 1.5467,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     30,                 1.9035,                 2.2881,                 1.5588,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000152,               0.000152,               0.000152
