                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4137,                 1.8977,                 1.5465,                  0.942,                0.00056,                0.00303,                0.00212,                    nan,                    nan,                    nan,             0.00047554,             0.00047554,             0.00047554
                      2,                 1.3754,                 1.3094,                 1.4765,                0.98765,                0.00056,                0.00332,                0.00232,                    nan,                    nan,                    nan,             0.00094245,             0.00094245,             0.00094245
                      3,                 1.3885,                 1.1274,                 1.4537,                0.98872,                0.00056,                0.00737,                0.00663,                    nan,                    nan,                    nan,              0.0013999,              0.0013999,              0.0013999
                      4,                  1.373,                 1.0283,                 1.4422,                0.99037,                0.00056,                0.00828,                0.00662,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3281,                 0.9253,                 1.3984,                0.99005,                0.00056,                0.00855,                0.00684,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3166,                0.89155,                 1.4012,                0.99109,                0.00056,                0.02233,                0.01786,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.2646,                0.81698,                 1.3732,                0.32327,                0.00056,                0.04299,                0.03439,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.2774,                0.81189,                 1.3681,                0.99074,                0.00056,                0.04299,                0.03439,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2674,                 0.7961,                 1.3655,                0.99034,                0.00056,                0.01438,                0.01294,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                 1.2616,                0.76426,                 1.3576,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2363,                 0.7587,                 1.3426,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2134,                0.73958,                  1.329,                0.33333,                0.00056,                0.16694,                0.13356,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2138,                0.72229,                 1.3184,                0.99079,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.1942,                0.69417,                 1.3089,                0.99078,                0.00056,                0.08431,                0.07587,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2034,                 0.6866,                 1.3184,                0.32389,                0.00056,                0.02233,                0.02009,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.1906,                 0.6757,                 1.3074,                0.99099,                0.00056,                0.05676,                0.05108,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.1749,                 0.6552,                 1.2864,                0.33333,                0.00056,                0.16694,                0.16694,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.1954,                0.67632,                 1.3186,                0.99012,                0.00056,                0.08431,                0.08431,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.1663,                0.64424,                 1.2954,                0.33333,                0.00056,                0.16694,                0.13356,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.1643,                0.62495,                 1.2947,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.1611,                0.63824,                  1.284,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1357,                0.60566,                 1.2716,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     23,                  1.149,                0.60998,                 1.2831,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     24,                   1.14,                0.60203,                 1.2757,                 0.6566,                0.00056,                0.03472,                0.03125,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1252,                0.59999,                 1.2762,                0.33333,                0.00056,                0.16694,                0.13356,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1502,                0.60931,                 1.2772,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1284,                 0.5911,                 1.2662,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1212,                0.59294,                 1.2628,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1104,                0.58237,                 1.2591,                0.65729,                0.00056,                0.08431,                0.06744,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     30,                 1.1427,                0.59859,                 1.2652,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1166,                 0.5747,                 1.2525,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0976,                0.57957,                 1.2653,                0.33333,                0.00056,                0.16694,                0.16694,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.1115,                0.57762,                  1.259,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.1274,                0.56641,                 1.2552,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0932,                0.55983,                 1.2502,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0957,                0.55547,                 1.2393,                0.33333,                0.00056,                0.16694,                0.13356,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     37,                 1.0924,                0.54522,                 1.2397,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0908,                0.56016,                 1.2598,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0848,                0.54802,                 1.2425,                0.33333,                0.00056,                0.16694,                0.15025,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0824,                0.53917,                 1.2368,                0.33333,                0.00056,                0.16694,                0.16694,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0894,                0.54931,                 1.2446,                0.33333,                0.00056,                0.16694,                0.16694,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
