                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77981,                0.43539,                  1.171,                0.95153,                0.90149,                0.94645,                0.68553,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     38,                0.77739,                0.43481,                 1.1643,                0.94672,                0.91941,                0.95445,                0.70169,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     39,                0.77448,                0.43582,                 1.1629,                0.95751,                0.90765,                0.95663,                0.70675,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     40,                0.77073,                0.42833,                 1.1623,                0.95296,                0.90031,                0.95358,                0.70095,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     41,                0.76801,                0.42413,                 1.1621,                0.94597,                0.92069,                0.95058,                0.69938,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     42,                0.76605,                0.42495,                  1.157,                0.96749,                 0.8995,                0.95349,                0.69852,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     43,                0.76371,                0.42029,                 1.1613,                0.95552,                0.91617,                0.95949,                0.70157,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     44,                0.76986,                 0.4235,                 1.1595,                0.96414,                0.91335,                0.95873,                0.70566,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     45,                0.75988,                0.41326,                 1.1542,                0.95323,                0.91241,                0.95711,                0.70488,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     46,                0.76757,                0.42648,                 1.1599,                0.94478,                0.92558,                0.95854,                0.70999,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     47,                 0.7578,                0.41331,                 1.1535,                 0.9402,                0.92721,                 0.9496,                0.69974,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     48,                0.75677,                0.41069,                 1.1561,                0.94997,                0.91498,                0.95177,                0.69996,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     49,                0.74526,                0.40713,                  1.147,                0.94685,                0.92244,                0.95572,                0.69783,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     50,                0.75138,                0.41244,                 1.1517,                0.95692,                 0.9198,                 0.9571,                0.70117,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     51,                0.74704,                0.40954,                 1.1509,                 0.9548,                0.90439,                0.95178,                0.70145,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     52,                0.75117,                0.40634,                  1.151,                 0.9466,                0.91987,                0.95551,                0.69975,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     53,                 0.7482,                0.40706,                 1.1483,                0.94793,                0.93128,                0.96096,                0.70823,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     54,                0.74159,                0.39996,                 1.1454,                0.97846,                0.88972,                 0.9574,                 0.7094,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     55,                0.75121,                0.40409,                  1.146,                0.95958,                0.90373,                0.95636,                0.70952,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     56,                0.73373,                0.39591,                 1.1446,                0.96997,                0.89601,                0.95673,                0.70392,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     57,                0.74075,                0.39992,                 1.1382,                0.96162,                0.91009,                0.96049,                0.71462,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     58,                0.72998,                0.39708,                 1.1393,                0.95855,                0.91009,                0.96172,                0.71214,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     59,                0.73076,                0.39493,                 1.1355,                0.97214,                0.89542,                 0.9581,                0.71044,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     60,                0.73704,                0.39882,                 1.1402,                0.97722,                0.89542,                 0.9575,                0.70477,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     61,                0.72708,                0.38908,                 1.1342,                  0.973,                0.89705,                0.96025,                0.70508,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.7245,                0.38407,                 1.1365,                0.96191,                0.90248,                0.95504,                0.71138,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     63,                0.72139,                0.39193,                 1.1319,                0.97146,                0.89787,                0.95317,                0.70336,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     64,                0.72288,                 0.3862,                 1.1328,                0.95719,                0.91202,                0.95669,                0.70414,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.7138,                0.38336,                 1.1246,                0.96073,                0.90854,                 0.9538,                0.70419,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     66,                0.71655,                0.38015,                 1.1282,                0.96692,                 0.9052,                0.95765,                0.70241,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     67,                0.72003,                0.37942,                 1.1295,                0.94357,                0.92313,                0.94984,                  0.701,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     68,                0.71484,                0.38031,                 1.1284,                 0.9603,                0.90992,                0.95598,                0.70009,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     69,                0.71133,                0.37674,                 1.1317,                0.96139,                0.91928,                0.95909,                0.70515,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     70,                 0.7084,                0.37857,                  1.123,                0.96458,                0.91417,                0.95604,                0.70595,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     71,                0.70839,                0.37512,                 1.1244,                0.94306,                0.92965,                0.95995,                0.71193,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     72,                0.70968,                0.37456,                 1.1231,                0.93741,                0.93319,                0.96101,                0.71088,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     73,                0.71207,                0.37404,                 1.1261,                0.93754,                0.93788,                0.96039,                0.71127,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     74,                0.70184,                0.36808,                 1.1162,                0.92894,                0.93719,                 0.9497,                0.70669,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.7029,                0.36998,                 1.1207,                0.97794,                0.89624,                0.95572,                0.70774,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     76,                0.69506,                0.36493,                 1.1159,                0.93505,                0.94351,                0.96122,                0.70944,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     77,                0.70172,                0.36793,                  1.116,                0.94349,                0.92232,                0.95742,                0.70464,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
