                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98414,                 1.3399,                 1.3784,                0.64193,                 0.7189,                0.70309,                0.39187,                    nan,                    nan,                    nan,             0.00047573,             0.00047573,             0.00047573
                      2,                0.96137,                 0.8112,                 1.3299,                0.77659,                0.76898,                0.79643,                0.45186,                    nan,                    nan,                    nan,             0.00076356,             0.00076356,             0.00076356
                      3,                0.92932,                0.69294,                 1.3071,                0.78464,                0.79823,                0.83621,                0.46805,                    nan,                    nan,                    nan,             0.00086275,             0.00086275,             0.00086275
                      4,                0.87661,                0.61618,                 1.2656,                0.85897,                0.84623,                 0.8566,                0.49403,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                      5,                0.86317,                0.57781,                 1.2542,                0.89007,                0.82906,                0.87656,                0.52406,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
